    Iter     M1(i)      T1(i)      M2(i)      T2(i)      U1(i)      U2(i)
 337.000   0.733855   0.706708   0.388222   0.704795   0.184568   0.213633
 338.000   0.733611   0.706369   0.386869   0.704386   0.233168   0.596767
 339.000   0.733369   0.705947   0.385516   0.703325   0.558968   0.141662
 340.000   0.733129   0.704972   0.384165   0.703038   0.844961   0.682929
 341.000   0.732892   0.703510   0.382815   0.701831   0.690273   0.150724
 342.000   0.732658   0.702311   0.381467   0.701528   0.788352   0.847524
 343.000   0.732428   0.700946   0.380119   0.700041   0.887519   0.787151
 344.000   0.732201   0.699412   0.378774   0.698657   0.728447   0.510702
 345.000   0.731978   0.698148   0.377430   0.697742   0.242082   0.418872
 346.000   0.731759   0.697712   0.376087   0.696984   0.207145   0.124712
 347.000   0.731541   0.697334   0.374746   0.696725   0.851313   0.341045
 348.000   0.731326   0.695862   0.373406   0.696099   0.336427   0.366349
 349.000   0.731114   0.695264   0.372067   0.695430   0.473655   0.618559
 350.000   0.730904   0.694434   0.370729   0.694332   0.120183   0.773765
 351.000   0.730698   0.694204   0.369393   0.692970   0.547226   0.783280
 352.000   0.730493   0.693249   0.368058   0.691592   0.378303   0.456821
 353.000   0.730291   0.692581   0.366725   0.690768   0.143392   0.241686
 354.000   0.730091   0.692312   0.365393   0.690311   0.630246   0.364663
 355.000   0.729894   0.691215   0.364062   0.689644   0.818789   0.194524
 356.000   0.729699   0.689798   0.362732   0.689267   0.890734   0.531986
 357.000   0.729508   0.688259   0.361403   0.688316   0.665534   0.899593
 358.000   0.729321   0.687102   0.360076   0.686740   0.330279   0.431618
 359.000   0.729137   0.686516   0.358750   0.685959   0.471872   0.711166
 360.000   0.728955   0.685688   0.357425   0.684703   0.754563   0.180177
 361.000   0.728776   0.684381   0.356102   0.684350   0.242494   0.387708
 362.000   0.728600   0.683943   0.354780   0.683644   0.145364   0.517509
 363.000   0.728426   0.683671   0.353459   0.682718   0.368679   0.240535
 364.000   0.728255   0.683019   0.352139   0.682262   0.267157   0.824123
 365.000   0.728085   0.682540   0.350820   0.680814   0.640313   0.474775
 366.000   0.727918   0.681426   0.349502   0.679960   0.829706   0.183209
 367.000   0.727754   0.679991   0.348186   0.679601   0.696437   0.689014
 368.000   0.727594   0.678782   0.346870   0.678383   0.549489   0.247355
 369.000   0.727437   0.677823   0.345556   0.677915   0.577769   0.339950
 370.000   0.727282   0.676815   0.344243   0.677290   0.207298   0.270081
 371.000   0.727131   0.676438   0.342930   0.676784   0.815953   0.157162
 372.000   0.726982   0.675026   0.341619   0.676470   0.293989   0.143004
 373.000   0.726836   0.674501   0.340308   0.676180   0.453378   0.110627
 374.000   0.726692   0.673705   0.338998   0.675944   0.817753   0.257327
 375.000   0.726551   0.672290   0.337688   0.675460   0.174696   0.345894
 376.000   0.726414   0.671967   0.336380   0.674825   0.464846   0.181336
 377.000   0.726278   0.671152   0.335072   0.674469   0.896312   0.365674
 378.000   0.726146   0.669603   0.333765   0.673800   0.337877   0.149636
 379.000   0.726017   0.669003   0.332459   0.673499   0.338595   0.137081
